IgAD alcohol asthma bmi cad cholesterol chrons depression diabetes diverticular education hypertension hypothyriodism insomnia lupus2018 neuro rheuma smoking uc whr
IgAD 1 -0.00315 0.00551 -0.00926 -0.00084 -0.00055 0.00527 -0.00253 0.00038 -0.00326 0.00235 -0.00351 -0.00308 0.00048 -0.00204 -0.00442 -0.0464 -0.00316 0.0016 -0.01336
alcohol -0.00315 1 -0.02336 -0.11444 -0.02407 -0.05555 -0.02046 -0.03905 -0.10793 -0.00663 0.09431 -0.03538 -0.03202 -0.02641 0.01568 -0.05031 -0.00389 -0.01916 -0.00987 0.01118
asthma 0.00551 -0.02336 1 0.04778 0.00637 -0.0295 0.01126 0.05079 0.02433 0.02145 0.01298 0.02113 0.0117 0.0323 0.01089 0.04114 0.0125 -0.0166 0.02042 0.04178
bmi -0.00926 -0.11444 0.04778 1 0.01705 0.05236 -0.00536 0.04066 0.15604 0.05129 -0.05567 0.19321 0.05594 0.05592 0.01185 0.01678 0.00651 -0.03685 -0.00198 -0.00381
cad -0.00084 -0.02407 0.00637 0.01705 1 0.05522 0.04951 0.01369 0.02812 0.02914 -0.0234 0.06001 -0.00829 0.01364 -0.01212 0.01482 0.0064 0.00354 0.04338 0.02011
cholesterol -0.00055 -0.05555 -0.0295 0.05236 0.05522 1 0.01141 0.00659 0.14143 0.01272 -0.02885 0.14316 0.01836 0.01266 -0.00273 0.01879 0.00165 0.01725 0.01306 0.04485
chrons 0.00527 -0.02046 0.01126 -0.00536 0.04951 0.01141 1 0.00099 0.01821 0.00814 -0.01921 0.01358 0.00118 0.0115 -0.00076 0.0054 0.02969 0.01314 0.18585 0.0145
depression -0.00253 -0.03905 0.05079 0.04066 0.01369 0.00659 0.00099 1 0.02295 0.02961 -0.0142 0.03107 0.02655 0.09422 -0.01125 0.27243 0.01085 0.03915 0.00479 0.01489
diabetes 0.00038 -0.10793 0.02433 0.15604 0.02812 0.14143 0.01821 0.02295 1 0.02494 -0.02684 0.15356 0.02515 0.03861 -0.00419 0.0166 0.00179 0.00636 0.01647 0.07634
diverticular -0.00326 -0.00663 0.02145 0.05129 0.02914 0.01272 0.00814 0.02961 0.02494 1 -0.0175 0.04917 0.01191 0.02937 -0.00057 0.03584 -0.00283 0.00882 -0.00029 0.04042
education 0.00235 0.09431 0.01298 -0.05567 -0.0234 -0.02885 -0.01921 -0.0142 -0.02684 -0.0175 1 -0.04118 -0.01396 -0.03889 -0.00203 -0.06324 -0.01319 -0.05321 -0.01563 -0.04732
hypertension -0.00351 -0.03538 0.02113 0.19321 0.06001 0.14316 0.01358 0.03107 0.15356 0.04917 -0.04118 1 0.05299 0.03927 -0.00084 0.04723 -0.0043 -0.00495 0.00133 0.0571
hypothyriodism -0.00308 -0.03202 0.0117 0.05594 -0.00829 0.01836 0.00118 0.02655 0.02515 0.01191 -0.01396 0.05299 1 0.01292 0.0079 0.01302 -0.00142 0.00384 -0.0119 -9e-05
insomnia 0.00048 -0.02641 0.0323 0.05592 0.01364 0.01266 0.0115 0.09422 0.03861 0.02937 -0.03889 0.03927 0.01292 1 -0.00352 0.26467 -0.00142 0.01208 0.01149 0.02812
lupus2018 -0.00204 0.01568 0.01089 0.01185 -0.01212 -0.00273 -0.00076 -0.01125 -0.00419 -0.00057 -0.00203 -0.00084 0.0079 -0.00352 1 -0.00066 -0.01474 -0.00758 -0.00429 -0.00773
neuro -0.00442 -0.05031 0.04114 0.01678 0.01482 0.01879 0.0054 0.27243 0.0166 0.03584 -0.06324 0.04723 0.01302 0.26467 -0.00066 1 0.0087 0.04056 -0.00125 0.02849
rheuma -0.0464 -0.00389 0.0125 0.00651 0.0064 0.00165 0.02969 0.01085 0.00179 -0.00283 -0.01319 -0.0043 -0.00142 -0.00142 -0.01474 0.0087 1 0.0106 0.04425 0.00517
smoking -0.00316 -0.01916 -0.0166 -0.03685 0.00354 0.01725 0.01314 0.03915 0.00636 0.00882 -0.05321 -0.00495 0.00384 0.01208 -0.00758 0.04056 0.0106 1 0.00819 0.05919
uc 0.0016 -0.00987 0.02042 -0.00198 0.04338 0.01306 0.18585 0.00479 0.01647 -0.00029 -0.01563 0.00133 -0.0119 0.01149 -0.00429 -0.00125 0.04425 0.00819 1 0.01278
whr -0.01336 0.01118 0.04178 -0.00381 0.02011 0.04485 0.0145 0.01489 0.07634 0.04042 -0.04732 0.0571 -9e-05 0.02812 -0.00773 0.02849 0.00517 0.05919 0.01278 1
